Branch,Month,Total_Sales,Discount_Amount,Net_Sales,Orders
Rose,2024-03-01,41087.0886,1472.73901,34447.25991,2703
Rose,2024-04-01,60573.30269,2691.304,50334.12788,3587
Rose,2024-05-01,55441.12834,3494.12992,45184.86618,3331
Rose,2024-06-01,50048.69385,2068.69534,41727.6048,2653
Rose,2024-07-01,61565.4314,3110.43431,50830.42881,2917
Rose,2024-08-01,56580.34486,1324.34764,48048.68976,2625
Rose,2024-09-01,44038.83328,1386.4347,37089.03982,2347
Rose,2024-10-01,43390.2854,2498.08632,35558.43221,2394
Rose,2024-11-01,40569.2681,1604.86931,33882.08449,2219
Rose,2024-12-01,41252.98966,1666.73022,34422.83284,2319
Rose,2025-01-01,45276.21668,1885.21739,37731.30214,2478
Rose,2025-02-01,52977.80321,2701.3041,43718.69315,2774
Rose,2025-03-01,54960.72026,1948.52162,46097.56218,2721
Rose,2025-04-01,62354.08477,2026.08676,52459.12606,2959
Rose,2025-05-01,63007.75833,1628.2608,53373.47303,2909
Rose,2025-06-01,58919.02898,1573.1303,49871.86596,2754
Rose,2025-07-01,66437.36342,1521.56512,56464.17068,2863
Rose,2025-08-01,67109.2618,1726.65193,56856.82423,2801
PARK VIEW,2024-01-01,41673.5878,1622.73902,34826.82259,2604
PARK VIEW,2024-02-01,39154.22786,2092.4781,32227.60891,2475
PARK VIEW,2024-03-01,40458.86926,2000.8694,33441.7385,2585
PARK VIEW,2024-04-01,57392.60722,2697.60837,47572.60613,3282
PARK VIEW,2024-05-01,65731.51937,2956.52132,54600.64826,3943
PARK VIEW,2024-06-01,80563.82321,4147.82546,66454.55969,4523
PARK VIEW,2024-07-01,93189.34406,5564.347,76197.60154,4920
PARK VIEW,2024-08-01,95956.60443,2982.60825,80846.94864,4965
PARK VIEW,2024-09-01,73649.54532,3104.34756,61343.64765,4306
PARK VIEW,2024-10-01,68028.40675,3310.608,56276.34449,4100
PARK VIEW,2024-11-01,64909.54622,2596.34747,54185.38798,3874
PARK VIEW,2024-12-01,60861.69725,4208.67773,49263.49444,3748
PARK VIEW,2025-01-01,64790.32511,3417.82596,53367.38855,3744
PARK VIEW,2025-02-01,70921.4333,3350.43454,58757.3881,3925
PARK VIEW,2025-03-01,72437.78128,3234.78234,60176.51914,4181
PARK VIEW,2025-04-01,82625.9107,3653.91254,68671.29874,4300
PARK VIEW,2025-05-01,78134.75913,3168.26054,65188.25398,3802
PARK VIEW,2025-06-01,70641.78318,3481.43439,58400.29986,3561
PARK VIEW,2025-07-01,79057.46351,2563.56488,66524.25758,3750
PARK VIEW,2025-08-01,78058.94226,2827.04311,65429.47566,3670
SHORFA,2024-01-01,106608.6045,2915.95627,90167.51378,7127
SHORFA,2024-02-01,113213.6885,2758.73889,96047.7828,7438
SHORFA,2024-03-01,92136.30347,2271.30434,78143.47658,6271
SHORFA,2024-04-01,126840.0849,3926.08662,106893.474,8186
SHORFA,2024-05-01,150942.083,5201.08624,126742.6455,9980
SHORFA,2024-06-01,169043.9095,4073.91256,143459.9905,10228
SHORFA,2024-07-01,183557.9087,5593.91243,154755.2055,11080
SHORFA,2024-08-01,185811.6474,4315.65162,157822.5966,11114
SHORFA,2024-09-01,166357.4066,4282.60862,140934.601,10870
SHORFA,2024-10-01,175956.4535,5916.95512,147860.4278,11498
SHORFA,2024-11-01,160482.7144,4495.21677,135641.2973,10362
SHORFA,2024-12-01,153790.9759,5153.47768,129249.9943,10091
SHORFA,2025-01-01,151794.4289,5057.1305,127597.6472,10131
SHORFA,2025-02-01,160065.759,4848.26073,134971.7322,10098
SHORFA,2025-03-01,142364.9109,4153.91274,120183.4719,8862
SHORFA,2025-04-01,199039.1693,5492.17327,168301.7278,12170
SHORFA,2025-05-01,212536.2759,6944.78194,178775.2016,12457
SHORFA,2025-06-01,223501.872,7287.47743,188012.5065,12355
SHORFA,2025-07-01,247174.9513,7246.9557,208651.292,13221
SHORFA,2025-08-01,247664.8222,6567.82518,209686.0766,12958
Nafora fran,2024-01-01,60395.79368,814.69564,51809.64677,2087
Nafora fran,2024-02-01,63952.64043,1424.39107,54372.38784,2427
Nafora fran,2024-03-01,51484.81237,707.91306,44153.82233,2025
Nafora fran,2024-04-01,75474.38874,1557.39103,64281.51513,2539
Nafora fran,2024-05-01,92098.69332,1508.69544,78796.9922,3291
Nafora fran,2024-06-01,104390.6049,1242.6085,89709.55588,3139
Nafora fran,2024-07-01,109559.2135,2165.21723,93388.03299,3274
Nafora fran,2024-08-01,113181.344,1144.34763,97423.46787,3491
Nafora fran,2024-09-01,102942.2934,1508.69546,88203.1208,3305
Nafora fran,2024-10-01,109087.0958,2619.33846,92580.65168,3427
Nafora fran,2024-11-01,103980.3375,1277.73892,89306.5994,3187
Nafora fran,2024-12-01,101073.7968,2328.01714,85865.88737,3345
Nafora fran,2025-01-01,95235.41303,1723.91316,81314.34038,3027
Nafora fran,2025-02-01,76171.60798,2002.60845,64494.77638,2615
Nafora fran,2025-03-01,65733.43429,1330.43466,56002.6036,2225
Nafora fran,2025-04-01,85153.3253,1877.82586,72413.47251,2926
Nafora fran,2025-05-01,87922.38978,2657.39104,74143.47214,3245
Nafora fran,2025-06-01,82602.52779,1563.13028,70469.03722,2919
Nafora fran,2025-07-01,81397.15711,1605.6085,69420.47534,2857
Nafora fran,2025-08-01,83129.09699,1859.34759,70716.30187,3022
Sarat Ebida,2025-05-01,123258.7999,1001.30427,106310.8562,4593
Sarat Ebida,2025-06-01,144922.0388,2353.04355,123973.0299,5409
Sarat Ebida,2025-07-01,185789.8878,2210.39095,159646.9909,6860
Sarat Ebida,2025-08-01,194578.1735,3225.48869,166401.46,7198
