Branch,Month,Discount_Amount,Net_Sales,Orders
jarir,2024-09-01,3743.30393,60697.38594,3408
jarir,2024-10-01,3490.60774,65677.21214,3554
jarir,2024-11-01,3330.43422,60811.29992,3329
jarir,2024-12-01,3169.35619,62674.98717,3478
jarir,2025-01-01,3443.47826,60077.38764,3394
jarir,2025-02-01,5376.52132,59799.99684,3439
jarir,2025-03-01,2817.39118,57502.60688,3129
jarir,2025-04-01,3108.91272,75142.38853,4320
jarir,2025-05-01,6059.12984,84404.56157,4945
jarir,2025-06-01,5787.30371,80945.51866,4468
jarir,2025-07-01,5352.17344,83447.73619,4579
jarir,2025-08-01,6405.65183,83944.99968,4724
jarir,2025-09-01,9441.04304,93153.7389,5120
SAGER,2024-01-01,2481.26065,68660.47182,4551
SAGER,2024-02-01,2469.47793,69101.91194,4612
SAGER,2024-03-01,1722.60867,52519.99671,3562
SAGER,2024-04-01,3448.69513,77919.64655,5019
SAGER,2024-05-01,6640.86835,106635.208,7013
SAGER,2024-06-01,4575.65149,110489.3376,6734
SAGER,2024-07-01,6581.73824,137606.0735,8050
SAGER,2024-08-01,4533.04295,159592.1576,9210
SAGER,2024-09-01,5059.47827,116778.2496,7466
SAGER,2024-10-01,5559.56357,116784.7728,7659
SAGER,2024-11-01,4241.99908,106109.2958,6940
SAGER,2024-12-01,4508.53855,99855.80159,6776
SAGER,2025-01-01,3714.78277,99916.51535,6673
SAGER,2025-02-01,3836.08681,104163.036,6880
SAGER,2025-03-01,3053.04323,75527.81958,4763
SAGER,2025-04-01,3683.47785,114828.6866,7814
SAGER,2025-05-01,5213.47774,131256.0736,8542
SAGER,2025-06-01,5043.47781,127757.378,8167
SAGER,2025-07-01,4494.78224,163943.8147,9760
SAGER,2025-08-01,4513.56456,174222.9476,10082
SAGER,2025-09-01,5308.0867,142762.3421,8896
Al-azzam mall,2024-01-01,1667.30443,39074.43069,1952
Al-azzam mall,2024-02-01,1559.6954,38324.56363,2057
Al-azzam mall,2024-03-01,793.91299,37911.30081,1931
Al-azzam mall,2024-04-01,1093.91291,30910.86684,1645
Al-azzam mall,2024-05-01,1439.13019,38233.60449,1827
Al-azzam mall,2024-06-01,733.04336,44432.4302,2079
Al-azzam mall,2024-07-01,826.95644,43202.16942,1923
Al-azzam mall,2024-08-01,630.43472,35559.99656,1722
Al-azzam mall,2024-09-01,1018.26082,48373.56052,2409
Al-azzam mall,2024-10-01,1778.12988,46126.21343,2277
Al-azzam mall,2024-11-01,1442.17359,46880.43038,2173
Al-azzam mall,2024-12-01,1457.44331,43217.33518,2036
Al-azzam mall,2025-01-01,1189.56543,41159.12686,1959
Al-azzam mall,2025-02-01,1216.52186,37759.99765,1879
Al-azzam mall,2025-03-01,1165.21737,48598.25647,2296
Al-azzam mall,2025-04-01,813.69564,23627.17195,1214
Al-azzam mall,2025-05-01,968.69552,42481.73503,2051
Al-azzam mall,2025-06-01,432.17388,32415.64938,1559
Al-azzam mall,2025-07-01,733.39132,39573.56318,1744
Al-azzam mall,2025-08-01,1241.08689,45447.60661,1905
Al-azzam mall,2025-09-01,610.00003,38426.52088,1688
al-hussien,2024-01-01,1565.91289,47215.82113,3565
al-hussien,2024-02-01,2162.60855,51925.04362,3876
al-hussien,2024-03-01,2440.86953,52952.17229,4069
al-hussien,2024-04-01,3293.0431,94479.1231,5673
al-hussien,2024-05-01,3867.82547,104154.6433,6931
al-hussien,2024-06-01,4386.95594,130092.3797,8138
al-hussien,2024-07-01,6577.39042,139732.3786,8702
al-hussien,2024-08-01,4268.69505,137949.5521,8567
al-hussien,2024-09-01,3567.30402,108684.3403,7421
al-hussien,2024-10-01,5479.17247,111166.9057,7306
al-hussien,2024-11-01,3658.86905,111179.383,7247
al-hussien,2024-12-01,5293.73874,108926.2542,7451
al-hussien,2025-01-01,4714.78286,110370.429,7500
al-hussien,2025-02-01,5262.60847,124101.7302,7620
al-hussien,2025-03-01,4369.56496,134593.0341,7966
al-hussien,2025-04-01,5281.30365,166692.5966,9610
al-hussien,2025-05-01,5394.34738,170949.9844,9497
al-hussien,2025-06-01,5305.21717,178130.4196,9201
al-hussien,2025-07-01,4749.86916,182600.5542,9507
al-hussien,2025-08-01,6602.7818,188965.9044,9656
al-hussien,2025-09-01,5548.34735,161442.0802,9021
AirPort,2024-01-01,2200.9129,62095.60243,4119
AirPort,2024-02-01,2907.04307,66763.04111,4468
AirPort,2024-03-01,1565.26082,46487.7797,3118
AirPort,2024-04-01,2982.60829,69120.42993,4358
AirPort,2024-05-01,4837.39051,90388.94786,5824
AirPort,2024-06-01,3720.86902,97173.25142,5644
AirPort,2024-07-01,4485.21686,121287.5957,6527
AirPort,2024-08-01,4156.52113,151901.7214,8101
AirPort,2024-09-01,4876.52141,126545.3786,7434
